StationName,ObservationDate,Year,Precipitation,PrecipitationRank
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1961,1.3,99
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1961,1.24,51
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1961,1.37,92
DETROIT CITY AIRPORT MI US,00:00.0,1961,1.08,51
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1962,0.49,90
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1962,0.42,85
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1962,0.41,90
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1962,0.76,28
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1962,1.08,90
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1962,2.07,18
DETROIT CITY AIRPORT MI US,00:00.0,1962,0.86,81
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1962,1.53,75
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1962,1.45,46
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1962,2,79
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1962,0.45,65
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1962,0.48,50
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1962,0.6,24
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1963,0.54,67
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1963,0.53,70
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1963,1.32,94
DETROIT CITY AIRPORT MI US,00:00.0,1963,1.17,32
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1963,1.08,90
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1963,1.24,51
DETROIT CITY AIRPORT MI US,00:00.0,1963,1,56
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1963,1.35,86
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1963,1.25,43
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1963,2.9,1
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1963,1.54,29
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1964,0.87,2
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1964,3.65,4
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1964,2.13,61
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1964,0.44,69
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1965,1.31,36
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1965,2,79
